DATE,buy/sell,STA,LTA,balance,amount of stock
05-26-21,BUY,933.8211730957031,1065.9415447998047,450.099853515625,122.0
11-04-21,BUY,578.8639892578125,639.2764892578125,23.965179443359375,123.0
03-07-22,SELL,414.7835189819336,413.86239959716795,63997.200592041016,123.0
04-05-22,BUY,382.814111328125,383.7240689086914,192.36172485351562,160.0
04-18-22,SELL,393.0069244384766,390.49849609375,74998.53848266602,160.0
06-10-22,BUY,431.47069244384767,434.08519104003904,175.61502075195312,156.0
06-13-22,SELL,436.66246337890624,435.72273895263675,87989.13284301758,156.0
08-03-22,BUY,459.3229705810547,465.33351837158204,273.8598937988281,264.0
09-22-22,SELL,464.9799575805664,461.31315063476563,148733.97952270508,264.0
11-17-22,BUY,481.54152526855466,490.5229183959961,213.56283569335938,454.0
02-01-23,BUY,264.24789276123045,422.02740600585935,24.218353271484375,455.0
10-03-23,SELL,105.91856575012207,105.74779403686523,51719.42423248291,455.0
11-24-23,BUY,99.45495643615723,99.51360176086426,64.92865753173828,639.0
12-14-23,BUY,78.38526191711426,97.72522720336914,4.784782409667969,640.0
06-27-24,FINAL SELL,23.48884696960449,32.92931470870972,14916.784294128418,640.0
